    915.913000 #83019    cpu1 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
    915.913000 #83020    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    915.913000 #83021    cpu1 RAD.WR   addr=0x0411 val=0x1c55
    915.913000 #83022    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    915.914000 #83023    cpu0 RAD.RD   addr=0x0413 val=UNDEFINED
    915.914000 #83024    cpu0 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
    915.915000 #83025    cpu0 RAD.RD   addr=0x0411 val=UNDEFINED
    915.915000 #83026    cpu0 RAD.WR   addr=0x0411 val=0x1c54
    915.916000 #83027    cpu0 RAD.RD   addr=0x0414 val=UNDEFINED
    915.916000 #83028    cpu0 RAD.RD   addr=0x0415 val=UNDEFINED
    915.916000 #83029    cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    915.916000 #83030    cpu0 RAD.RD   addr=0x0410 val=UNDEFINED
    915.916000 #83031    cpu0 RAD.WR   addr=0x0410 val=0x1f80
    915.916000 #83032    cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x1000
    915.917000 #83033    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    915.917000 #83034    cpu1 RAD.WR   addr=0x0410 val=0x0f80
    915.917000 #83035    cpu1 RAD.MOD  addr=0x0410 val=0x0010 mask=0x0018
    915.917000 #83036    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    915.917000 #83037    cpu1 RAD.WR   addr=0x0410 val=0x0f90
    915.917000 #83038    cpu1 RAD.MOD  addr=0x0411 val=0x7000 mask=0xff00
    915.917000 #83039    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    915.917000 #83040    cpu1 RAD.WR   addr=0x0411 val=0x7054
    915.917000 #83041    cpu1 RAD.WR   addr=0x0412 val=0x0101
    915.917000 #83042    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    915.917000 #83043    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    915.917000 #83044    cpu1 RAD.WR   addr=0x0410 val=0x0f90
    915.917000 #83045    cpu1 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
    915.917000 #83046    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    915.917000 #83047    cpu1 RAD.WR   addr=0x0410 val=0x0f91
    915.917000 #83048    cpu1 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
    915.917000 #83049    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    915.917000 #83050    cpu1 RAD.WR   addr=0x0411 val=0x7055
    915.917000 #83051    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    915.917000 #83052    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    915.918000 #83053    cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    915.918000 #83054    cpu1 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
    915.918000 #83055    cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    915.918000 #83056    cpu1 RAD.WR   addr=0x0411 val=0x7054
    915.918000 #83057    cpu1 RAD.RD   addr=0x0416 val=UNDEFINED
    915.918000 #83058    cpu1 RAD.MOD  addr=0x0126 val=0x0008 mask=0x001f
    915.918000 #83059    cpu1 RAD.RD   addr=0x0126 val=UNDEFINED
    915.918000 #83060    cpu1 RAD.WR   addr=0x0126 val=0x0108
    915.918000 #83061    cpu1 RAD.MOD  addr=0x0043 val=0x0008 mask=0x001f
    915.918000 #83062    cpu1 RAD.RD   addr=0x0043 val=UNDEFINED
    915.918000 #83063    cpu1 RAD.WR   addr=0x0043 val=0x0008
    915.918000 #83064    cpu1 RAD.MOD  addr=0x0326 val=0x0008 mask=0x001f
    915.918000 #83065    cpu1 RAD.RD   addr=0x0326 val=UNDEFINED
    915.918000 #83066    cpu1 RAD.WR   addr=0x0326 val=0x0108
    915.918000 #83067    cpu1 RAD.MOD  addr=0x0243 val=0x0008 mask=0x001f
