    701.024000 #286      cpu1 RAD.MOD  addr=0x0171 val=0x2000 mask=0x2000
    701.024000 #287      cpu1 RAD.RD   addr=0x0171 val=UNDEFINED
    701.024000 #288      cpu1 RAD.WR   addr=0x0171 val=0x2000
    701.024000 #289      cpu1 RAD.MOD  addr=0x031d val=0x0000 mask=0x0004
    701.024000 #290      cpu1 RAD.RD   addr=0x031d val=UNDEFINED
    701.024000 #291      cpu1 RAD.WR   addr=0x031d val=0x0000
    701.024000 #292      cpu1 RAD.MOD  addr=0x0371 val=0x2000 mask=0x2000
    701.024000 #293      cpu1 RAD.RD   addr=0x0371 val=UNDEFINED
    701.024000 #294      cpu1 RAD.WR   addr=0x0371 val=0x2000
    701.024000 #295      cpu1 RAD.MOD  addr=0x051d val=0x0000 mask=0x0004
    701.024000 #296      cpu1 RAD.RD   addr=0x051d val=UNDEFINED
    701.024000 #297      cpu1 RAD.WR   addr=0x051d val=0x0000
    701.024000 #298      cpu1 RAD.MOD  addr=0x0571 val=0x2000 mask=0x2000
    701.024000 #299      cpu1 RAD.RD   addr=0x0571 val=UNDEFINED
    701.024000 #300      cpu1 RAD.WR   addr=0x0571 val=0x2000
    701.024000 #301      cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    701.024000 #302      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.024000 #303      cpu1 RAD.WR   addr=0x0410 val=0x0f88
    701.024000 #304      cpu1 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
    701.024000 #305      cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    701.024000 #306      cpu1 RAD.WR   addr=0x0410 val=0x0f89
    701.024000 #307      cpu1 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
    701.024000 #308      cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    701.024000 #309      cpu1 RAD.WR   addr=0x0411 val=0x4055
    701.024000 #310      cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    701.024000 #311      cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    701.024000 #312      cpu1 RAD.RD   addr=0x0413 val=UNDEFINED
    701.024000 #313      cpu1 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
    701.024000 #314      cpu1 RAD.RD   addr=0x0411 val=UNDEFINED
    701.024000 #315      cpu1 RAD.WR   addr=0x0411 val=0x4054
    701.024000 #316      cpu1 RAD.RD   addr=0x0416 val=UNDEFINED
    701.025000 #317      cpu1 RAD.MOD  addr=0x0171 val=0x0000 mask=0x2000
    701.025000 #318      cpu1 RAD.RD   addr=0x0171 val=UNDEFINED
    701.025000 #319      cpu1 RAD.WR   addr=0x0171 val=0x0000
    701.025000 #320      cpu1 RAD.MOD  addr=0x0371 val=0x0000 mask=0x2000
    701.025000 #321      cpu1 RAD.RD   addr=0x0371 val=UNDEFINED
    701.025000 #322      cpu1 RAD.WR   addr=0x0371 val=0x0000
    701.025000 #323      cpu1 RAD.MOD  addr=0x0571 val=0x0000 mask=0x2000
    701.025000 #324      cpu1 RAD.RD   addr=0x0571 val=UNDEFINED
    701.025000 #325      cpu1 RAD.WR   addr=0x0571 val=0x0000
    701.025000 #326      cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
