    889.616000 #200      cpu0 RAD.WR   addr=0x0411 val=0x7054
    889.616000 #201      cpu0 RAD.WR   addr=0x0412 val=0x0101
    889.616000 #202      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    889.617000 #203      cpu0 RAD.WR   addr=0x0410 val=0x0f90
    889.617000 #204      cpu0 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
    889.617000 #205      cpu0 RAD.WR   addr=0x0410 val=0x0f91
    889.617000 #206      cpu0 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
    889.617000 #207      cpu0 RAD.WR   addr=0x0411 val=0x7055
    889.618000 #208      cpu0 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
    889.618000 #209      cpu0 RAD.WR   addr=0x0411 val=0x7054
    889.618000 #210      cpu0 RAD.MOD  addr=0x0126 val=0x0008 mask=0x001f
    889.618000 #211      cpu0 RAD.WR   addr=0x0126 val=0x0108
    889.618000 #212      cpu0 RAD.MOD  addr=0x0043 val=0x0008 mask=0x001f
    889.619000 #213      cpu0 RAD.WR   addr=0x0043 val=0x0008
    889.619000 #214      cpu0 RAD.MOD  addr=0x0326 val=0x0008 mask=0x001f
    889.619000 #215      cpu0 RAD.WR   addr=0x0326 val=0x0108
    889.619000 #216      cpu0 RAD.MOD  addr=0x0243 val=0x0008 mask=0x001f
    889.619000 #217      cpu0 RAD.WR   addr=0x0243 val=0x0008
    889.619000 #218      cpu0 RAD.MOD  addr=0x0526 val=0x0008 mask=0x001f
    889.620000 #219      cpu0 RAD.WR   addr=0x0526 val=0x0108
    889.620000 #220      cpu0 RAD.MOD  addr=0x0443 val=0x0008 mask=0x001f
    889.621000 #221      cpu0 RAD.WR   addr=0x0443 val=0x0008
    889.621000 #222      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    889.621000 #223      cpu0 RAD.WR   addr=0x0410 val=0x0f90
    889.621000 #224      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x1000
    889.622000 #225      cpu0 RAD.WR   addr=0x0410 val=0x0f90
    889.622000 #226      cpu0 RAD.MOD  addr=0x0410 val=0x0008 mask=0x0018
    889.622000 #227      cpu0 RAD.WR   addr=0x0410 val=0x0f88
    889.622000 #228      cpu0 RAD.MOD  addr=0x0411 val=0x4000 mask=0xff00
    889.622000 #229      cpu0 RAD.WR   addr=0x0411 val=0x4054
    889.622000 #230      cpu0 RAD.WR   addr=0x0412 val=0x011a
    889.622000 #231      cpu0 RAD.MOD  addr=0x011d val=0x0000 mask=0x0004
    889.623000 #232      cpu0 RAD.WR   addr=0x011d val=0x0000
    889.623000 #233      cpu0 RAD.MOD  addr=0x0171 val=0x2000 mask=0x2000
    889.623000 #234      cpu0 RAD.WR   addr=0x0171 val=0x2000
    889.623000 #235      cpu0 RAD.MOD  addr=0x031d val=0x0000 mask=0x0004
    889.624000 #236      cpu0 RAD.WR   addr=0x031d val=0x0000
    889.624000 #237      cpu0 RAD.MOD  addr=0x0371 val=0x2000 mask=0x2000
    889.624000 #238      cpu0 RAD.WR   addr=0x0371 val=0x2000
    889.624000 #239      cpu0 RAD.MOD  addr=0x051d val=0x0000 mask=0x0004
    889.624000 #240      cpu0 RAD.WR   addr=0x051d val=0x0000
    889.625000 #241      cpu0 RAD.MOD  addr=0x0571 val=0x2000 mask=0x2000
    889.625000 #242      cpu0 RAD.WR   addr=0x0571 val=0x2000
    889.626000 #243      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    889.626000 #244      cpu0 RAD.WR   addr=0x0410 val=0x0f88
    889.626000 #245      cpu0 RAD.MOD  addr=0x0410 val=0x0001 mask=0x0001
    889.626000 #246      cpu0 RAD.WR   addr=0x0410 val=0x0f89
    889.626000 #247      cpu0 RAD.MOD  addr=0x0411 val=0x0001 mask=0x0001
    889.627000 #248      cpu0 RAD.WR   addr=0x0411 val=0x4055
    889.628000 #249      cpu0 RAD.MOD  addr=0x0411 val=0x0000 mask=0x0001
    889.628000 #250      cpu0 RAD.WR   addr=0x0411 val=0x4054
    889.628000 #251      cpu0 RAD.MOD  addr=0x0171 val=0x0000 mask=0x2000
    889.628000 #252      cpu0 RAD.WR   addr=0x0171 val=0x0000
    889.628000 #253      cpu0 RAD.MOD  addr=0x0371 val=0x0000 mask=0x2000
    889.628000 #254      cpu0 RAD.WR   addr=0x0371 val=0x0000
    889.628000 #255      cpu0 RAD.MOD  addr=0x0571 val=0x0000 mask=0x2000
    889.628000 #256      cpu0 RAD.WR   addr=0x0571 val=0x0000
    889.628000 #257      cpu0 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    889.629000 #258      cpu0 RAD.WR   addr=0x0410 val=0x0f88
    889.629000 #259      cpu0 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0080
    889.629000 #260      cpu0 RAD.WR   addr=0x08ea val=0x003f
    889.629000 #261      cpu0 PHY.MOD  addr=0x0728 val=0x0800 mask=0x3800
    889.629000 #262      cpu0 PHY.MOD  addr=0x0721 val=0x4000 mask=0x4000
    889.629000 #263      cpu0 PHY.MOD  addr=0x0928 val=0x0800 mask=0x3800
    889.629000 #264      cpu0 PHY.MOD  addr=0x0921 val=0x4000 mask=0x4000
    889.629000 #265      cpu0 PHY.MOD  addr=0x0b28 val=0x0800 mask=0x3800
