    853.049000 #58239    cpu1 RAD.RD   addr=0x0571 val=UNDEFINED
    853.049000 #58240    cpu1 RAD.WR   addr=0x0571 val=0x0000
    853.049000 #58241    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
    853.049000 #58242    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
    853.049000 #58243    cpu1 RAD.WR   addr=0x0410 val=0x0f88
    853.049000 #58244    cpu1 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0080
    853.049000 #58245    cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
    853.049000 #58246    cpu1 RAD.WR   addr=0x08ea val=0x003f
    853.049000 #58247    cpu1 PHY.MOD  addr=0x0728 val=0x0800 mask=0x3800
    853.049000 #58248    cpu1 PHY.MOD  addr=0x0721 val=0x4000 mask=0x4000
    853.049000 #58249    cpu1 PHY.MOD  addr=0x0928 val=0x0800 mask=0x3800
    853.049000 #58250    cpu1 PHY.MOD  addr=0x0921 val=0x4000 mask=0x4000
    853.049000 #58251    cpu1 PHY.MOD  addr=0x0b28 val=0x0800 mask=0x3800
    853.049000 #58252    cpu1 PHY.MOD  addr=0x0b21 val=0x4000 mask=0x4000
    853.049000 #58253    cpu1 RAD.MOD  addr=0x0045 val=0x0080 mask=0x0080
    853.049000 #58254    cpu1 RAD.RD   addr=0x0045 val=UNDEFINED
    853.049000 #58255    cpu1 RAD.WR   addr=0x0045 val=0x3080
    853.049000 #58256    cpu1 RAD.MOD  addr=0x0049 val=0x0000 mask=0xe000
    853.049000 #58257    cpu1 RAD.RD   addr=0x0049 val=UNDEFINED
    853.049000 #58258    cpu1 RAD.WR   addr=0x0049 val=0x0030
    853.049000 #58259    cpu1 RAD.MOD  addr=0x0049 val=0x0000 mask=0x1800
    853.049000 #58260    cpu1 RAD.RD   addr=0x0049 val=UNDEFINED
    853.049000 #58261    cpu1 RAD.WR   addr=0x0049 val=0x0030
    853.049000 #58262    cpu1 RAD.MOD  addr=0x0049 val=0x0000 mask=0x0400
    853.049000 #58263    cpu1 RAD.RD   addr=0x0049 val=UNDEFINED
