trace_seq,op,addr,val,mask,match,n_driver_sites,driver_site(s),value_check
84280,PHY.MOD,0x0460,0xfffb,0x0000,MULTI,5,phy_ac.c:419 b43_phy_ac_op_radio_write;phy_ac.c:420 b43_phy_ac_op_radio_write;phy_ac.c:422 b43_phy_ac_op_radio_write;phy_ac.c:450 b43_phy_ac_op_radio_write,VAL-MISMATCH
84281,PHY.RD,0x019e,UNDEFINED,,MULTI,34,phy_ac.c:297 b43_phy_ac_op_radio_write;phy_ac.c:304 b43_phy_ac_op_radio_write;phy_ac.c:315 b43_phy_ac_op_radio_write;phy_ac.c:332 b43_phy_ac_op_radio_write,
84282,PHY.MOD,0x019e,0x0002,0x0002,MULTI,38,phy_ac.c:303 b43_phy_ac_op_radio_write;phy_ac.c:333 b43_phy_ac_op_radio_write;phy_ac.c:342 b43_phy_ac_op_radio_write;phy_ac.c:358 b43_phy_ac_op_radio_write,VAL-OK
84307,PHY.MOD,0x0001,0x4000,0x4000,MULTI,8,phy_ac.c:411 b43_phy_ac_op_radio_write;phy_ac.c:412 b43_phy_ac_op_radio_write;phy_ac.c:474 b43_phy_ac_op_radio_write;phy_ac.c:475 b43_phy_ac_op_radio_write,VAL-OK
84309,PHY.MOD,0x0001,0x0000,0x4000,MULTI,8,phy_ac.c:411 b43_phy_ac_op_radio_write;phy_ac.c:412 b43_phy_ac_op_radio_write;phy_ac.c:474 b43_phy_ac_op_radio_write;phy_ac.c:475 b43_phy_ac_op_radio_write,VAL-UNRESOLVED
84311,PHY.WR,0x06a0,0x03f2,,EXACT,1,phy_ac.c:2085 b43_phy_ac_set_channel,VAL-OK
84312,PHY.WR,0x06a1,0x0054,,EXACT,1,phy_ac.c:2086 b43_phy_ac_set_channel,VAL-OK
84313,PHY.WR,0x08a0,0x03da,,EXACT,2,phy_ac.c:2092 b43_phy_ac_set_channel,VAL-OK
84314,PHY.WR,0x08a1,0x003c,,EXACT,2,phy_ac.c:2093 b43_phy_ac_set_channel,VAL-OK
84315,RAD.WR,0x0020,0x0000,,NONE,0,,
84316,RAD.WR,0x0021,0x0000,,NONE,0,,
84317,RAD.WR,0x0022,0x0000,,NONE,0,,
84318,RAD.WR,0x0023,0x0000,,NONE,0,,
84319,RAD.WR,0x003a,0x0000,,NONE,0,,
84320,RAD.WR,0x003d,0x000f,,NONE,0,,
84321,RAD.WR,0x0220,0x0000,,NONE,0,,
84322,RAD.WR,0x0221,0x0000,,NONE,0,,
84323,RAD.WR,0x0222,0x0000,,NONE,0,,
84324,RAD.WR,0x0223,0x0000,,NONE,0,,
84325,RAD.WR,0x023a,0x0000,,NONE,0,,
84326,RAD.WR,0x023d,0x000f,,NONE,0,,
84327,PHY.RD,0x019e,UNDEFINED,,MULTI,34,phy_ac.c:297 b43_phy_ac_op_radio_write;phy_ac.c:304 b43_phy_ac_op_radio_write;phy_ac.c:315 b43_phy_ac_op_radio_write;phy_ac.c:332 b43_phy_ac_op_radio_write,
84328,PHY.MOD,0x019e,0x0002,0x0002,MULTI,38,phy_ac.c:303 b43_phy_ac_op_radio_write;phy_ac.c:333 b43_phy_ac_op_radio_write;phy_ac.c:342 b43_phy_ac_op_radio_write;phy_ac.c:358 b43_phy_ac_op_radio_write,VAL-OK
84329,PHY.WR,0x0401,0x7733,,NONE,0,,
84394,PHY.WR,0x073e,0x0000,,NONE,0,,
84395,PHY.WR,0x0678,0x0008,,NONE,0,,
84396,PHY.WR,0x0720,0x0180,,UNIQUE,1,radio_2069.c:1240 b43_radio_2069_channel_setup,VAL-MISMATCH
84397,PHY.WR,0x0721,0x5000,,NONE,0,,
84398,PHY.WR,0x0722,0x0000,,EXACT,1,phy_ac.c:479 b43_phy_ac_op_radio_write,VAL-OK
84399,PHY.WR,0x0723,0x0000,,NONE,0,,
84400,PHY.WR,0x0724,0x0000,,NONE,0,,
84401,PHY.WR,0x0725,0x0600,,EXACT,2,phy_ac.c:441 b43_phy_ac_op_radio_write,VAL-OK
84402,PHY.WR,0x0727,0x0004,,EXACT,2,phy_ac.c:481 b43_phy_ac_op_radio_write,VAL-OK
84403,PHY.WR,0x0726,0x000c,,UNIQUE,1,farrow_phy_ac.c:73 b43_phy_ac_farrow_setup,VAL-UNRESOLVED
84404,PHY.WR,0x0728,0x0880,,MULTI,3,radio_2069.c:1238 b43_radio_2069_channel_setup;radio_2069.c:1291 b43_radio_2069_channel_setup;radio_2069.c:1294 b43_radio_2069_channel_setup,VAL-UNRESOLVED
84405,PHY.WR,0x0729,0x1000,,NONE,0,,
84406,PHY.WR,0x0732,0x0000,,EXACT,2,phy_ac.c:326 b43_phy_ac_op_radio_write;phy_ac.c:476 b43_phy_ac_op_radio_write,VAL-OK
84407,PHY.WR,0x0733,0x0000,,EXACT,2,phy_ac.c:327 b43_phy_ac_op_radio_write;phy_ac.c:477 b43_phy_ac_op_radio_write,VAL-OK
84408,PHY.WR,0x0730,0x0000,,NONE,0,,
84409,PHY.WR,0x0731,0x0000,,NONE,0,,
84410,PHY.WR,0x0734,0x0000,,EXACT,1,phy_ac.c:480 b43_phy_ac_op_radio_write,VAL-OK
84411,PHY.WR,0x0735,0x0000,,NONE,0,,
84412,PHY.WR,0x0737,0x0000,,NONE,0,,
84413,PHY.WR,0x0738,0x0000,,NONE,0,,
84414,PHY.WR,0x0736,0x0000,,NONE,0,,
84415,PHY.WR,0x0739,0x0000,,EXACT,2,phy_ac.c:443 b43_phy_ac_op_radio_write,VAL-OK
84416,PHY.WR,0x073a,0x0180,,EXACT,2,phy_ac.c:429 b43_phy_ac_op_radio_write;phy_ac.c:442 b43_phy_ac_op_radio_write,VAL-OK
84417,PHY.WR,0x073b,0x002c,,NONE,0,,
84418,PHY.WR,0x073c,0x0000,,EXACT,1,phy_ac.c:482 b43_phy_ac_op_radio_write,VAL-OK
84419,PHY.WR,0x073d,0x0000,,NONE,0,,
84420,PHY.WR,0x0747,0x0000,,EXACT,2,phy_ac.c:328 b43_phy_ac_op_radio_write;phy_ac.c:478 b43_phy_ac_op_radio_write,VAL-OK
