   1310.427000 #55477    cpu1 RAD.MOD  addr=0x0571 val=0x0000 mask=0x2000
   1310.427000 #55478    cpu1 RAD.RD   addr=0x0571 val=UNDEFINED
   1310.427000 #55479    cpu1 RAD.WR   addr=0x0571 val=0x0000
   1310.427000 #55480    cpu1 RAD.MOD  addr=0x0410 val=0x0000 mask=0x0001
   1310.427000 #55481    cpu1 RAD.RD   addr=0x0410 val=UNDEFINED
   1310.427000 #55482    cpu1 RAD.WR   addr=0x0410 val=0x0f88
   1310.427000 #55483    cpu1 RAD.MOD  addr=0x08ea val=0x0000 mask=0x0080
   1310.427000 #55484    cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
   1310.427000 #55485    cpu1 RAD.WR   addr=0x08ea val=0x003f
   1310.427000 #55486    cpu1 PHY.MOD  addr=0x0728 val=0x0800 mask=0x3800
   1310.427000 #55487    cpu1 PHY.MOD  addr=0x0721 val=0x4000 mask=0x4000
   1310.427000 #55488    cpu1 PHY.MOD  addr=0x0928 val=0x0800 mask=0x3800
   1310.427000 #55489    cpu1 PHY.MOD  addr=0x0921 val=0x4000 mask=0x4000
   1310.427000 #55490    cpu1 PHY.MOD  addr=0x0b28 val=0x0800 mask=0x3800
