    616.017000 #33412    cpu0 PHY.MOD  addr=0x0925 val=0x0040 mask=0x0040
    616.017000 #33413    cpu0 PHY.MOD  addr=0x093a val=0x0010 mask=0x0010
    616.017000 #33414    cpu0 PHY.MOD  addr=0x0925 val=0x0080 mask=0x0080
    616.017000 #33415    cpu0 PHY.MOD  addr=0x093a val=0x0040 mask=0x0060
    616.017000 #33416    cpu0 PHY.MOD  addr=0x0925 val=0x0100 mask=0x0100
    616.017000 #33417    cpu0 PHY.MOD  addr=0x0934 val=0x0000 mask=0x0007
    616.017000 #33418    cpu0 PHY.MOD  addr=0x0922 val=0x0004 mask=0x0004
    616.017000 #33419    cpu0 RAD.RD   addr=0x016e val=0x00000000
    616.017000 #33421    cpu0 RAD.RD   addr=0x000e val=0x00000001
    616.017000 #33423    cpu0 RAD.RD   addr=0x0161 val=0x00000100
    616.017000 #33425    cpu0 RAD.RD   addr=0x0017 val=0x00000011
    616.017000 #33427    cpu0 RAD.RD   addr=0x015f val=0x00000000
    616.017000 #33429    cpu0 RAD.RD   addr=0x0024 val=0x00000203
    616.017000 #33431    cpu0 RAD.RD   addr=0x0025 val=0x00000098
    616.017000 #33433    cpu0 RAD.MOD  addr=0x0161 val=0x4000 mask=0x4000
    616.017000 #33434    cpu0 RAD.RD   addr=0x0161 val=0x00000100
    616.017000 #33436    cpu0 RAD.WR   addr=0x0161 val=0x4100
    616.017000 #33437    cpu0 RAD.MOD  addr=0x000e val=0x0001 mask=0x0001
    616.017000 #33438    cpu0 RAD.RD   addr=0x000e val=0x00000001
    616.017000 #33440    cpu0 RAD.WR   addr=0x000e val=0x0001
    616.017000 #33441    cpu0 RAD.MOD  addr=0x0161 val=0x1000 mask=0x1000
    616.017000 #33442    cpu0 RAD.RD   addr=0x0161 val=0x00004100
    616.018000 #33444    cpu0 RAD.WR   addr=0x0161 val=0x5100
    616.018000 #33445    cpu0 RAD.MOD  addr=0x0017 val=0x0001 mask=0x0001
    616.018000 #33446    cpu0 RAD.RD   addr=0x0017 val=0x00000010
    616.018000 #33448    cpu0 RAD.WR   addr=0x0017 val=0x0011
    616.018000 #33449    cpu0 RAD.MOD  addr=0x0017 val=0x0000 mask=0x0002
    616.018000 #33450    cpu0 RAD.RD   addr=0x0017 val=0x00000011
    616.018000 #33452    cpu0 RAD.WR   addr=0x0017 val=0x0011
    616.018000 #33453    cpu0 RAD.MOD  addr=0x015f val=0x2000 mask=0x2000
    616.018000 #33454    cpu0 RAD.RD   addr=0x015f val=0x00000000
    616.018000 #33456    cpu0 RAD.WR   addr=0x015f val=0x2000
    616.018000 #33457    cpu0 RAD.MOD  addr=0x0025 val=0x0091 mask=0x03ff
    616.018000 #33458    cpu0 RAD.RD   addr=0x0025 val=0x00000098
    616.018000 #33460    cpu0 RAD.WR   addr=0x0025 val=0x0091
    616.018000 #33461    cpu0 RAD.MOD  addr=0x015f val=0x4000 mask=0x4000
    616.018000 #33462    cpu0 RAD.RD   addr=0x015f val=0x00002000
    616.018000 #33464    cpu0 RAD.WR   addr=0x015f val=0x6000
    616.018000 #33465    cpu0 RAD.MOD  addr=0x0024 val=0x0300 mask=0x0700
    616.018000 #33466    cpu0 RAD.RD   addr=0x0024 val=0x00000003
