   1825.001000 #1211603  cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1825.055000 #1211788  cpu1 RAD.WR   addr=0x046f val=0x0000
   1825.055000 #1211789  cpu1 RAD.MOD  addr=0x046f val=0x0000 mask=0x0001
   1825.055000 #1211790  cpu1 RAD.RD   addr=0x046f val=UNDEFINED
   1825.055000 #1211791  cpu1 RETVAL   for=#1211790 val=0x00000000
   1825.055000 #1211792  cpu1 RAD.WR   addr=0x046f val=0x0000
   1825.055000 #1211793  cpu1 RAD.MOD  addr=0x046f val=0x0000 mask=0x0002
   1825.055000 #1211794  cpu1 RAD.RD   addr=0x046f val=UNDEFINED
   1825.055000 #1211795  cpu1 RETVAL   for=#1211794 val=0x00000000
   1825.055000 #1211796  cpu1 RAD.WR   addr=0x046f val=0x0000
   1825.055000 #1211797  cpu1 RAD.MOD  addr=0x0465 val=0x0000 mask=0x0001
   1825.055000 #1211798  cpu1 RAD.RD   addr=0x0465 val=UNDEFINED
   1825.055000 #1211799  cpu1 RETVAL   for=#1211798 val=0x00000000
   1825.055000 #1211800  cpu1 RAD.WR   addr=0x0465 val=0x0000
   1825.055000 #1211801  cpu1 RAD.MOD  addr=0x040c val=0x0000 mask=0x0010
   1825.055000 #1211802  cpu1 RAD.RD   addr=0x040c val=UNDEFINED
   1825.055000 #1211803  cpu1 RETVAL   for=#1211802 val=0x00000210
   1825.055000 #1211804  cpu1 RAD.WR   addr=0x040c val=0x0200
   1825.055000 #1211805  cpu1 PHY.WR   addr=0x0408 val=0x0c06
   1825.055000 #1211806  cpu1 RAD.MOD  addr=0x040c val=0x0010 mask=0x0010
   1825.055000 #1211807  cpu1 RAD.RD   addr=0x040c val=UNDEFINED
   1825.055000 #1211808  cpu1 RETVAL   for=#1211807 val=0x00000201
   1825.055000 #1211809  cpu1 RAD.WR   addr=0x040c val=0x0211
   1825.055000 #1211810  cpu1 PHY.WR   addr=0x0417 val=0x000d
   1825.055000 #1211811  cpu1 PHY.WR   addr=0x0408 val=0x0c02
   1825.055000 #1211812  cpu1 PHY.WR   addr=0x0728 val=0x0180
   1825.055000 #1211813  cpu1 PHY.WR   addr=0x0417 val=0x0004
   1825.055000 #1211814  cpu1 PHY.WR   addr=0x0728 val=0x0000
   1825.055000 #1211815  cpu1 RAD.MOD  addr=0x08ea val=0x0040 mask=0x0040
   1825.055000 #1211816  cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
   1825.055000 #1211817  cpu1 RETVAL   for=#1211816 val=0x000000ff
   1825.055000 #1211818  cpu1 RAD.WR   addr=0x08ea val=0x00ff
   1825.055000 #1211819  cpu1 RAD.MOD  addr=0x08ea val=0x0080 mask=0x0080
   1825.055000 #1211820  cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
   1825.055000 #1211821  cpu1 RETVAL   for=#1211820 val=0x000000ff
   1825.055000 #1211822  cpu1 RAD.WR   addr=0x08ea val=0x00ff
   1825.055000 #1211823  cpu1 RAD.MOD  addr=0x08ed val=0x0000 mask=0x0600
   1825.055000 #1211824  cpu1 RAD.RD   addr=0x08ed val=UNDEFINED
   1825.055000 #1211825  cpu1 RETVAL   for=#1211824 val=0x00004524
   1825.055000 #1211826  cpu1 RAD.WR   addr=0x08ed val=0x4124
   1825.055000 #1211827  cpu1 RAD.MOD  addr=0x08ed val=0x0000 mask=0x1800
   1825.055000 #1211828  cpu1 RAD.RD   addr=0x08ed val=UNDEFINED
   1825.055000 #1211829  cpu1 RETVAL   for=#1211828 val=0x00004124
   1825.055000 #1211830  cpu1 RAD.WR   addr=0x08ed val=0x4124
   1825.055000 #1211831  cpu1 RAD.MOD  addr=0x0548 val=0x0001 mask=0x0001
   1825.055000 #1211832  cpu1 RAD.RD   addr=0x0548 val=UNDEFINED
   1825.055000 #1211833  cpu1 RETVAL   for=#1211832 val=0x00000000
   1825.055000 #1211834  cpu1 RAD.WR   addr=0x0548 val=0x0001
   1825.055000 #1211835  cpu1 RAD.WR   addr=0x0549 val=0x0000
   1825.055000 #1211836  cpu1 RAD.WR   addr=0x054a val=0x0000
   1825.055000 #1211837  cpu1 RAD.WR   addr=0x054b val=0x0000
   1825.055000 #1211838  cpu1 RAD.WR   addr=0x054c val=0x0000
   1825.055000 #1211839  cpu1 RAD.MOD  addr=0x040b val=0x0000 mask=0x0001
   1825.055000 #1211840  cpu1 RAD.RD   addr=0x040b val=UNDEFINED
   1825.055000 #1211841  cpu1 RETVAL   for=#1211840 val=0x00000000
